,c
1727,72011
1728,89329
1729,31043
1730,24771
1731,102553
1732,32472
1733,51847
1734,122787
1735,43908
1736,24084
1737,120790
1738,44817
1739,13067
1740,80772
1741,75133
1742,5765
1743,37263
1744,33189
1745,49648
1746,78687
1747,58106
1748,41393
1749,21853
1750,79597
1751,93244
1752,76181
1753,65627
1754,90002
1755,94961
1756,50032
1757,77935
1758,65990
1759,117319
1760,6731
1761,80655
1762,97592
1763,105392
1764,64166
1765,48144
1766,98847
1767,50537
1768,78267
1769,25961
1770,8654
1771,95151
1772,104335
1773,54492
1774,29381
1775,40717
1776,4733
1777,123498
1778,9377
1779,11439
1780,48633
1781,40633
1782,115295
1783,3506
1784,24445
1785,110080
1786,54612
1787,58864
1788,104019
1789,16667
1790,44626
1791,89631
1792,43910
1793,5849
1794,79379
1795,47798
1796,107892
1797,111848
1798,59055
1799,47521
1800,31950
1801,32731
1802,35106
1803,19781
1804,37360
1805,8766
1806,67188
1807,122692
1808,85896
1809,47580
1810,79866
1811,56460
1812,101825
1813,53532
1814,83946
1815,83127
1816,118103
1817,87400
1818,61660
1819,1191
1820,107389
1821,43325
1822,7955
1823,112643
1824,36020
1825,8128
1826,77385
1827,89031
1828,79854
1829,88104
1830,33617
1831,112119
1832,6777
1833,50949
1834,80477
1835,7437
1836,24693
1837,67471
1838,40090
1839,104879
1840,69270
1841,108324
1842,64451
1843,82806
1844,29361
1845,40589
1846,37428
1847,78664
1848,14107
1849,49319
1850,42691
1851,57996
1852,57410
1853,115548
1854,55095
1855,122811
1856,103567
1857,35138
1858,70716
1859,92521
1860,78622
1861,61224
1862,74509
1863,115847
1864,95170
1865,78437
1866,70180
1867,94288
1868,6115
1869,6716
1870,122189
1871,107247
1872,40070
1873,111866
1874,28414
1875,93670
1876,111067
1877,94728
1878,95181
1879,60922
1880,52662
1881,4236
1882,103129
1883,79276
1884,6662
1885,111699
1886,94348
1887,95432
1888,125326
1889,100050
1890,92721
1891,67855
1892,69019
1893,37375
1894,12782
1895,113428
1896,93741
1897,108075
1898,4116
1899,69545
1900,2036
1901,49222
1902,77436
1903,111663
1904,72496
1905,67725
1906,58790
1907,67343
1908,61499
1909,84104
1910,108676
1911,29895
1912,37171
1913,10554
1914,18863
1915,63203
1916,121771
1917,96168
1918,105102
1919,53593
1920,54538
1921,72789
1922,97245
1923,50295
1924,34573
1925,40975
1926,119084
1927,55784
1928,16307
1929,104341
1930,48318
1931,29740
1932,29619
1933,7825
1934,86468
1935,125159
1936,37154
1937,108039
1938,62841
1939,12528
1940,116679
1941,81652
1942,1899
1943,103345
1944,78323
1945,77651
1946,56534
1947,100377
1948,73333
1949,81376
1950,45245
1951,125185
1952,25602
1953,16621
1954,112826
1955,35835
1956,77282
1957,4273
1958,29372
1959,30137
1960,50785
1961,101294
1962,49802
1963,103439
1964,53834
1965,47319
1966,101957
1967,27155
1968,24675
1969,125365
1970,44388
1971,48638
1972,7135
1973,15690
1974,26703
1975,34664
1976,43051
1977,121722
1978,19775
1979,31400
1980,13034
1981,104549
1982,36209
1983,17295
1984,30751
1985,29881
1986,25673
1987,38489
1988,24062
1989,96031
1990,116273
1991,8430
1992,20911
1993,72546
1994,24581
1995,28654
1996,83556
1997,21005
1998,93211
1999,79188
