site,i
230-115109-12,1453
147-73633-12,1454
88-44113-12,1455
148-74274-12,1456
18-9053-12,1457
197-98575-12,1458
5-2904-12,1459
161-80550-12,1460
154-77266-12,1461
238-119205-12,1462
147-73964-12,1463
61-30566-12,1464
203-101849-12,1465
192-96073-12,1466
86-43349-12,1467
194-97477-12,1468
60-30371-12,1469
9-4747-12,1470
156-78107-12,1471
106-53203-12,1472
209-104721-12,1473
208-104437-12,1474
230-115093-12,1475
197-98531-12,1476
18-9462-12,1477
128-64183-12,1478
46-23326-12,1479
122-61322-12,1480
1-625-12,1481
214-107118-12,1482
132-66465-12,1483
167-83520-12,1484
206-103410-12,1485
202-101108-12,1486
75-37671-12,1487
77-38910-12,1488
235-117785-12,1489
155-77915-12,1490
245-122542-12,1491
96-48263-12,1492
250-125413-12,1493
153-76902-12,1494
238-119355-12,1495
227-113625-12,1496
37-18862-12,1497
227-113654-12,1498
